nft_id,program_id,disease,intervention,owner_id,status,mint_date,transfer_count,qaly_value
NFT-000001,ST1,Stunting,Micronutrient Supplementation,NGO,active,2025-02-04 12:57:48.836148,0,0.0009
NFT-000002,ST1,Stunting,Micronutrient Supplementation,Dr. Williams,active,2024-08-19 12:57:48.836148,3,0.0009
NFT-000003,ST1,Stunting,Micronutrient Supplementation,MOH,active,2024-09-28 12:57:48.836148,3,0.0009
NFT-000004,ST1,Stunting,Micronutrient Supplementation,Dr. Drum,transferred,2025-05-21 12:57:48.836148,3,0.0009
NFT-000005,ST1,Stunting,Micronutrient Supplementation,NUH,active,2024-08-18 12:57:48.836148,1,0.0009
NFT-000006,ST1,Stunting,Micronutrient Supplementation,NUH,active,2025-05-30 12:57:48.836148,0,0.0009
NFT-000007,ST1,Stunting,Micronutrient Supplementation,Dr. Williams,active,2024-12-04 12:57:48.836148,2,0.0009
NFT-000008,ST1,Stunting,Micronutrient Supplementation,Department,active,2024-07-31 12:57:48.836148,3,0.0009
NFT-000009,ST1,Stunting,Micronutrient Supplementation,Department,active,2024-07-12 12:57:48.836148,1,0.0009
NFT-000010,ST1,Stunting,Micronutrient Supplementation,Dr. Johnson,active,2024-09-07 12:57:48.836148,1,0.0009
NFT-000011,ST1,Stunting,Micronutrient Supplementation,Dr. Johnson,active,2024-07-21 12:57:48.836148,1,0.0009
NFT-000012,ST1,Stunting,Micronutrient Supplementation,Department,active,2025-03-29 12:57:48.836148,0,0.0009
NFT-000013,ST1,Stunting,Micronutrient Supplementation,Dr. Drum,active,2025-01-25 12:57:48.836148,2,0.0009
NFT-000014,ST1,Stunting,Micronutrient Supplementation,Admin Team,active,2025-04-11 12:57:48.836148,2,0.0009
NFT-000015,ST1,Stunting,Micronutrient Supplementation,MOH,active,2024-10-22 12:57:48.836148,3,0.0009
NFT-000016,ST1,Stunting,Micronutrient Supplementation,MOH,active,2024-07-02 12:57:48.836148,0,0.0009
NFT-000017,ST1,Stunting,Micronutrient Supplementation,Dr. Drum,active,2025-01-01 12:57:48.836148,3,0.0009
NFT-000018,ST1,Stunting,Micronutrient Supplementation,Department,transferred,2025-05-04 12:57:48.836148,1,0.0009
NFT-000019,ST1,Stunting,Micronutrient Supplementation,Department,transferred,2024-06-12 12:57:48.836148,3,0.0009
NFT-000020,ST1,Stunting,Micronutrient Supplementation,Admin Team,transferred,2024-08-24 12:57:48.836148,1,0.0009
NFT-000021,ST1,Stunting,Micronutrient Supplementation,NGO,active,2024-09-07 12:57:48.836148,0,0.0009
NFT-000022,ST1,Stunting,Micronutrient Supplementation,NGO,active,2025-03-01 12:57:48.836148,1,0.0009
NFT-000023,ST1,Stunting,Micronutrient Supplementation,MOH,active,2024-11-24 12:57:48.836148,0,0.0009
NFT-000024,ST1,Stunting,Micronutrient Supplementation,Dr. Williams,active,2024-11-17 12:57:48.836148,1,0.0009
NFT-000025,ST1,Stunting,Micronutrient Supplementation,Department,active,2024-08-06 12:57:48.836148,1,0.0009
NFT-000026,ST1,Stunting,Micronutrient Supplementation,Department,active,2024-08-09 12:57:48.836148,2,0.0009
NFT-000027,ST1,Stunting,Micronutrient Supplementation,Dr. Drum,active,2025-01-28 12:57:48.837148,1,0.0009
NFT-000028,ST1,Stunting,Micronutrient Supplementation,Dr. Drum,active,2024-08-20 12:57:48.837148,1,0.0009
NFT-000029,ST1,Stunting,Micronutrient Supplementation,NGO,active,2024-10-20 12:57:48.837148,3,0.0009
NFT-000030,ST1,Stunting,Micronutrient Supplementation,MOH,active,2025-01-19 12:57:48.837148,3,0.0009
NFT-000031,ST1,Stunting,Micronutrient Supplementation,Admin Team,transferred,2024-12-06 12:57:48.837148,0,0.0009
NFT-000032,ST1,Stunting,Micronutrient Supplementation,Dr. Johnson,transferred,2024-06-21 12:57:48.837148,1,0.0009
NFT-000033,ST1,Stunting,Micronutrient Supplementation,NGO,active,2024-10-09 12:57:48.837148,2,0.0009
NFT-000034,ST1,Stunting,Micronutrient Supplementation,NGO,active,2025-03-01 12:57:48.837148,1,0.0009
NFT-000035,ST1,Stunting,Micronutrient Supplementation,Department,active,2024-11-28 12:57:48.837148,2,0.0009
NFT-000036,ST1,Stunting,Micronutrient Supplementation,Admin Team,active,2024-09-19 12:57:48.837148,3,0.0009
