nft_id,program_id,disease,intervention,owner_id,status,mint_date,transfer_count,qaly_value
NFT-000001,BP1,Hypertension,Thiazide diuretics,Hospital A,transferred,2025-03-23 17:46:20.319442,0,1
NFT-000002,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-08-18 17:46:20.319442,2,1
NFT-000003,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-06-26 17:46:20.319442,1,1
NFT-000004,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-05-06 17:46:20.319442,2,1
NFT-000005,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-07-18 17:46:20.319442,2,1
NFT-000006,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-11-02 17:46:20.319442,2,1
NFT-000007,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2024-06-29 17:46:20.319442,2,1
NFT-000008,BP1,Hypertension,Thiazide diuretics,Hospital C,active,2025-03-03 17:46:20.319442,0,1
NFT-000009,BP1,Hypertension,Thiazide diuretics,Dr. Smith,active,2025-02-17 17:46:20.319442,1,1
NFT-000010,BP1,Hypertension,Thiazide diuretics,Dr. Williams,active,2024-08-30 17:46:20.319442,0,1
NFT-000011,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-12-20 17:46:20.319442,2,1
NFT-000012,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-09-14 17:46:20.319442,2,1
NFT-000013,BP1,Hypertension,Thiazide diuretics,Ministry of Health,active,2025-02-21 17:46:20.319442,0,1
NFT-000014,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2024-12-11 17:46:20.319442,0,1
NFT-000015,BP1,Hypertension,Thiazide diuretics,Dr. Williams,transferred,2024-08-08 17:46:20.319442,2,1
NFT-000016,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2024-06-04 17:46:20.319442,2,1
NFT-000017,BP1,Hypertension,Thiazide diuretics,Ministry of Health,transferred,2025-02-22 17:46:20.319442,2,1
NFT-000018,BP1,Hypertension,Thiazide diuretics,Hospital B,transferred,2024-08-21 17:46:20.319442,0,1
NFT-000019,BP1,Hypertension,Thiazide diuretics,Hospital B,active,2025-02-13 17:46:20.319442,0,1
NFT-000020,BP1,Hypertension,Thiazide diuretics,Dr. Johnson,active,2025-03-10 17:46:20.319442,2,1
